TICKER,COMPANY,WEBSITE,INDUSTRY,SECTOR,PRICE,CURRENCY,CRITERIA PASSED
CHD,"Church & Dwight Co., Inc.",https://churchdwight.com,Household & Personal Products,Consumer Defensive,93.99,USD,0
CI,The Cigna Group,https://www.cigna.com,Healthcare Plans,Healthcare,299.4,USD,0
CINF,Cincinnati Financial Corporation,https://www.cinfin.com,Insurance—Property & Casualty,Financial Services,103.39,USD,0
CTAS,Cintas Corporation,https://www.cintas.com,Specialty Business Services,Industrials,601.09,USD,0
CSCO,"Cisco Systems, Inc.",https://www.cisco.com,Communication Equipment,Technology,50.48,USD,0
C,Citigroup Inc.,https://www.citigroup.com,Banks—Diversified,Financial Services,51.52,USD,0
CFG,"Citizens Financial Group, Inc.",https://www.citizensbank.com,Banks—Regional,Financial Services,33.57,USD,0
CLX,The Clorox Company,https://www.thecloroxcompany.com,Household & Personal Products,Consumer Defensive,142.06,USD,0
CME,CME Group Inc.,https://www.cmegroup.com,Financial Data & Stock Exchanges,Financial Services,211.02,USD,0
CMS,CMS Energy Corporation,https://www.cmsenergy.com,Utilities—Regulated Electric,Utilities,58.0,USD,0
KO,The Coca-Cola Company,https://www.coca-colacompany.com,Beverages—Non-Alcoholic,Consumer Defensive,58.75,USD,0
CTSH,Cognizant Technology Solutions Corporation,https://www.cognizant.com,Information Technology Services,Technology,75.84,USD,0
CL,Colgate-Palmolive Company,https://www.colgatepalmolive.com,Household & Personal Products,Consumer Defensive,79.24,USD,0
CMCSA,Comcast Corporation,https://corporate.comcast.com,Telecom Services,Communication Services,44.12,USD,0
CMA,Comerica Incorporated,https://www.comerica.com,Banks—Regional,Financial Services,56.57,USD,0
CAG,"Conagra Brands, Inc.",https://www.conagrabrands.com,Packaged Foods,Consumer Defensive,28.57,USD,0
COP,ConocoPhillips,https://www.conocophillips.com,Oil & Gas E&P,Energy,116.5,USD,0
ED,"Consolidated Edison, Inc.",https://www.conedison.com,Utilities—Regulated Electric,Utilities,90.65,USD,0
STZ,"Constellation Brands, Inc.",https://www.cbrands.com,Beverages—Wineries & Distilleries,Consumer Defensive,242.16,USD,0
CEG,Constellation Energy Corporation,https://constellationenergy.com,Utilities—Renewable,Utilities,117.11,USD,0
COO,"The Cooper Companies, Inc.",https://www.coopercos.com,Medical Instruments & Supplies,Healthcare,379.54,USD,0
